numeroCuenta,nombre,creditos,calificacion,contrasena,numeroInscripcion,semestre
333846819,María Moreno Martin,33.78,8.16,pass333846819,581.8573,8
793456011,Lucia Muñoz Álvarez,37.55,6.72,pass793456011,591.9678,8
500549270,Monica Pérez Sánchez,31.60,9.53,pass500549270,594.9073,7
566465686,Sofia González Martínez,34.01,8.23,pass566465686,595.0914,2
764377200,Carmen Fernández Martínez,37.12,6.96,pass764377200,598.9505,4
392537349,Daniel Martin Martin,31.46,9.87,pass392537349,610.3274,9
439391324,Carmen Fernández Álvarez,34.80,8.08,pass439391324,611.8681,10
760616124,Ana Gómez Martínez,35.74,8.03,pass760616124,641.1892,9
438998299,Carlos Gómez Martínez,38.28,7.10,pass438998299,650.1257,8
011731898,Pedro Ruiz Hernández,38.32,7.16,pass011731898,656.6103,7
637464443,Miguel Fernández Álvarez,34.02,9.64,pass637464443,697.5688,2
900357660,Sofia Fernández Martínez,43.54,6.01,pass900357660,711.7379,6
725388352,Patricia Sánchez López,36.23,8.94,pass725388352,733.5497,1
971491189,Carmen Muñoz Gómez,42.41,6.54,pass971491189,734.9661,6
094806798,Antonio González Pérez,35.71,9.25,pass094806798,737.5014,3
372712127,Carmen Hernández Díaz,40.56,7.37,pass372712127,758.1217,10
939623457,Lucia Gómez Jiménez,36.15,9.30,pass939623457,759.5448,4
393361656,Sofia Sánchez Fernández,35.77,9.81,pass393361656,784.3908,7
567246787,Monica Jiménez Fernández,38.93,8.54,pass567246787,808.8806,8
651229313,Daniel Moreno Hernández,39.71,8.21,pass651229313,809.2041,4
683311138,Miguel García Díaz,44.94,6.43,pass683311138,811.7246,4
701447375,Carmen Gómez Gómez,40.91,7.92,pass701447375,828.8678,9
819839141,María Hernández Hernández,39.99,8.50,pass819839141,849.7729,7
415170039,Lucia Rodríguez Muñoz,42.63,7.49,pass415170039,851.0651,1
441659644,Antonio García Ruiz,43.13,7.44,pass441659644,865.3359,3
407213535,Monica Pérez Moreno,37.78,9.87,pass407213535,881.1098,3
231602801,Lucia Gómez Rodríguez,38.89,9.37,pass231602801,885.0729,4
806569590,Daniel Sánchez Gómez,43.78,7.91,pass806569590,948.0606,2
194227159,Daniel Álvarez Jiménez,48.40,6.78,pass194227159,992.1992,8
941236641,Lucia Pérez Rodríguez,47.41,7.14,pass941236641,1003.1620,4
785015235,Patricia Muñoz Sánchez,43.95,8.44,pass785015235,1019.0742,5
707633841,Lucia García Moreno,45.85,7.88,pass707633841,1035.7764,4
574675929,Pedro Sánchez Rodríguez,42.03,9.40,pass574675929,1038.2590,7
588981382,Pedro Martin Martínez,49.59,6.84,pass588981382,1050.9704,3
216972898,Laura Díaz González,49.48,6.89,pass216972898,1053.7636,10
376999831,Sofia Álvarez Álvarez,45.63,8.17,pass376999831,1063.0409,9
091678769,María Pérez Álvarez,53.59,6.48,pass091678769,1162.4741,1
977023878,José López Hernández,47.11,8.54,pass977023878,1184.3763,7
679496894,Carlos Muñoz Martin,53.83,6.56,pass679496894,1187.7757,6
664221170,Carlos Fernández Gómez,55.41,6.24,pass664221170,1197.7335,6
779405263,David Álvarez González,56.48,6.07,pass779405263,1209.2298,10
023407768,Ana Hernández Jiménez,45.87,9.87,pass023407768,1298.1574,2
179435012,Isabel Jiménez Martínez,56.05,6.73,pass179435012,1320.3365,9
147353052,Carlos Muñoz Martin,48.45,9.05,pass147353052,1327.0528,8
139353415,Laura Moreno Gómez,49.85,8.55,pass139353415,1328.2273,1
603490976,Monica Gómez Muñoz,46.74,9.76,pass603490976,1332.7266,9
216254186,Antonio Jiménez Jiménez,52.97,7.79,pass216254186,1366.6324,3
684086727,Elena Jiménez Rodríguez,52.88,8.27,pass684086727,1445.9563,6
753239773,Miguel González Jiménez,49.00,9.78,pass753239773,1467.7841,1
271842679,Carlos García González,59.81,6.58,pass271842679,1470.8092,9
144766568,Daniel Muñoz Martin,52.06,8.69,pass144766568,1471.7543,9
176582196,Sofia Pérez Martínez,51.02,9.29,pass176582196,1512.1833,7
124478509,Pedro Gómez García,58.00,7.20,pass124478509,1514.6883,10
140387741,Laura Hernández Pérez,61.52,6.44,pass140387741,1524.6118,7
386713633,Lucia Muñoz Martin,53.74,8.53,pass386713633,1539.6241,3
083548251,Antonio Ruiz Martínez,51.88,9.21,pass083548251,1549.0508,6
885150021,Luis Hernández Hernández,57.37,7.57,pass885150021,1557.0299,4
985824984,Sofia García Muñoz,55.72,8.14,pass985824984,1580.2121,1
041990199,Antonio García Rodríguez,58.01,7.71,pass041990199,1621.6912,5
264253029,Miguel Álvarez Martínez,51.86,9.66,pass264253029,1624.3183,1
325442839,Miguel Sánchez Muñoz,61.75,6.91,pass325442839,1648.0826,8
868941560,Lucia Fernández Pérez,62.92,6.82,pass868941560,1688.4150,3
306561596,Juan Díaz Gómez,57.64,8.14,pass306561596,1690.8893,4
299597550,Antonio Hernández Álvarez,57.96,8.11,pass299597550,1703.7397,4
386642951,Carmen López López,53.65,9.54,pass386642951,1715.6420,6
994895904,Laura Martin Hernández,57.92,8.27,pass994895904,1734.7502,7
101228926,Francisco Rodríguez Ruiz,54.52,9.34,pass101228926,1735.8049,4
293140862,David Jiménez Hernández,58.91,8.05,pass293140862,1747.0140,5
093737773,José Moreno González,62.94,7.07,pass093737773,1749.5720,2
975415936,Carmen Díaz Sánchez,53.32,9.87,pass975415936,1753.7755,9
000923742,Sofia Martin Pérez,69.16,6.10,pass000923742,1822.6170,6
621262348,Isabel Fernández Moreno,60.60,8.08,pass621262348,1853.4656,6
663358743,Laura Pérez Díaz,69.76,6.25,pass663358743,1901.1841,7
644855497,Patricia Hernández González,70.88,6.17,pass644855497,1936.1169,9
860013464,Antonio Álvarez Ruiz,62.20,8.05,pass860013464,1945.4922,7
117094310,Patricia Ruiz Hernández,63.31,7.79,pass117094310,1952.0620,2
402629898,Isabel López Álvarez,61.06,8.53,pass402629898,1986.6895,1
457025028,Monica Gómez Hernández,68.13,6.87,pass457025028,1992.5508,2
992655310,Miguel Pérez Jiménez,68.42,6.82,pass992655310,1994.1159,3
996571028,Sofia Moreno Ruiz,70.04,6.55,pass996571028,2008.6389,6
816743458,David García Martínez,62.60,8.40,pass816743458,2058.3054,5
832248247,Pedro García Pérez,63.29,8.30,pass832248247,2077.1968,5
417922058,David Rodríguez Muñoz,67.38,7.40,pass417922058,2098.3808,9
855845439,Laura Moreno González,66.55,7.60,pass855845439,2103.6131,4
902159562,Sofia Gómez Hernández,58.18,9.95,pass902159562,2104.5773,6
214789610,Laura Díaz Jiménez,60.49,9.21,pass214789610,2106.0897,2
029914696,Monica Fernández Sánchez,58.70,9.87,pass029914696,2126.3114,7
241516036,Pedro Jiménez Rodríguez,63.26,8.70,pass241516036,2175.2711,7
306559579,Elena López Álvarez,63.47,8.67,pass306559579,2182.4500,9
138177878,Daniel Muñoz Jiménez,62.97,8.92,pass138177878,2209.8810,4
179932238,Monica Pérez Álvarez,66.76,8.05,pass179932238,2241.6412,4
599056135,Laura Fernández Sánchez,70.80,7.46,pass599056135,2337.7521,5
141605583,Pedro Álvarez Ruiz,73.25,7.08,pass141605583,2374.2195,10
525638036,Daniel Moreno Pérez,81.01,6.08,pass525638036,2494.2496,9
804113832,Carlos Fernández García,78.74,6.67,pass804113832,2584.9872,4
909476461,Pedro Pérez Díaz,78.27,6.88,pass909476461,2632.6211,4
766951241,Juan González Pérez,73.56,7.84,pass766951241,2651.5337,10
948014990,Juan Rodríguez Jiménez,73.28,7.93,pass948014990,2660.7519,2
636655644,Ana García Martínez,65.98,9.81,pass636655644,2670.3923,9
059884452,Luis Díaz García,84.24,6.08,pass059884452,2695.3060,6
101766922,Monica Jiménez Pérez,76.62,7.42,pass101766922,2722.4748,3
971078864,Isabel Martínez López,70.60,8.75,pass971078864,2724.3172,6
419842197,Luis Martin Álvarez,68.47,9.42,pass419842197,2759.9545,9
000179167,Monica Gómez Álvarez,67.07,9.95,pass000179167,2798.1598,1
820917107,Laura Álvarez Muñoz,76.41,7.69,pass820917107,2805.7888,7
259639603,Carlos López Moreno,74.47,8.35,pass259639603,2895.6306,5
064957183,Isabel Sánchez Fernández,71.54,9.06,pass064957183,2897.9980,3
098308820,Ana Martínez Álvarez,68.91,9.77,pass098308820,2898.5993,4
014693003,Antonio Muñoz García,80.98,7.09,pass014693003,2907.6254,10
977133015,Antonio Álvarez García,84.48,6.56,pass977133015,2928.3918,9
017012058,Antonio Pérez González,84.80,6.68,pass017012058,3001.9718,4
784156025,Juan López Díaz,84.64,6.75,pass784156025,3022.0515,7
742861093,David Hernández Fernández,85.05,6.89,pass742861093,3114.5842,2
523345331,Patricia González Ruiz,75.98,8.65,pass523345331,3120.9892,2
061694981,Patricia Rodríguez Álvarez,79.73,7.88,pass061694981,3132.0631,7
820477628,Patricia Hernández García,76.13,8.84,pass820477628,3202.5034,6
576118430,Francisco Gómez Díaz,82.24,7.62,pass576118430,3220.8060,2
438253824,Francisco Gómez Martínez,71.96,9.96,pass438253824,3221.6024,5
386521097,Isabel Pérez González,81.09,7.89,pass386521097,3244.0151,4
461915736,José Moreno Álvarez,79.61,8.48,pass461915736,3359.9232,3
782587161,Pedro Muñoz Pérez,84.82,7.47,pass782587161,3360.5481,2
653784188,Ana García Pérez,79.81,8.61,pass653784188,3429.2402,2
829815575,José González Fernández,94.49,6.15,pass829815575,3431.3088,6
149121084,Monica Martínez Martin,79.31,8.82,pass149121084,3466.1914,3
506624881,Ana Jiménez Díaz,95.55,6.23,pass506624881,3555.6658,5
922961180,Ana Martínez Sánchez,85.26,7.88,pass922961180,3581.6252,5
929443707,Monica García Martínez,87.30,7.54,pass929443707,3589.2193,10
204081652,Miguel García Martínez,90.56,7.01,pass204081652,3592.4046,1
622577378,Daniel Ruiz Martínez,82.94,8.61,pass622577378,3700.2665,3
747556467,José Díaz Díaz,88.27,7.64,pass747556467,3719.4164,4
364353523,Lucia Martínez Muñoz,88.86,7.65,pass364353523,3777.5885,10
450132590,Antonio Sánchez Díaz,89.76,7.54,pass450132590,3798.8903,2
558300569,David Pérez Martin,95.08,6.75,pass558300569,3814.5435,10
786040398,Ana González Gómez,100.50,6.06,pass786040398,3822.9197,10
801793531,Isabel Sánchez López,100.79,6.06,pass801793531,3845.1837,7
986361098,Miguel Ruiz Gómez,95.92,6.70,pass986361098,3851.4791,1
254900852,Patricia Jiménez Martin,80.75,9.66,pass254900852,3936.1764,8
089226112,Elena Muñoz Hernández,83.90,8.97,pass089226112,3944.3939,8
607270792,David Fernández Pérez,80.75,9.75,pass607270792,3975.0865,4
089160996,Isabel López Hernández,82.30,9.58,pass089160996,4055.8841,5
915129269,Antonio Ruiz Gómez,92.99,7.55,pass915129269,4077.5191,10
466550792,Patricia Martin Rodríguez,100.16,6.56,pass466550792,4112.3137,1
341744712,Monica Fernández Jiménez,96.06,7.28,pass341744712,4200.7178,7
831368663,Miguel Hernández Ruiz,91.24,8.19,pass831368663,4258.9882,9
767777477,Daniel Díaz Moreno,103.66,6.63,pass767777477,4450.2159,9
136795642,Isabel Álvarez Díaz,101.59,7.00,pass136795642,4512.8956,9
693653452,Luis López Muñoz,92.87,8.38,pass693653452,4519.4653,5
436489316,Monica Álvarez González,102.64,6.87,pass436489316,4522.0083,2
979701052,Lucia Rodríguez Martínez,87.03,9.63,pass979701052,4558.9192,10
112015788,José García Díaz,110.68,6.01,pass112015788,4604.7375,10
831360309,Elena Sánchez Moreno,86.80,9.78,pass831360309,4607.3017,6
741259750,Carmen Díaz Pérez,107.90,6.34,pass741259750,4610.5271,10
849526818,Carlos Muñoz Martin,102.31,7.09,pass849526818,4640.5117,4
261233062,Lucia González Martin,106.33,6.61,pass261233062,4669.6559,7
890428102,Monica Martínez Pérez,111.22,6.06,pass890428102,4684.9086,10
831632887,Carmen Fernández Pérez,89.88,9.29,pass831632887,4692.4850,1
528665179,Monica Sánchez Pérez,95.21,8.35,pass528665179,4730.1969,6
887490066,Pedro Jiménez Rodríguez,112.24,6.01,pass887490066,4731.8076,5
655173165,Carmen Sánchez Jiménez,96.79,8.11,pass655173165,4747.0725,7
847450140,Lucia Fernández Ruiz,100.71,7.50,pass847450140,4753.1685,2
240942332,Carmen López González,96.33,8.22,pass240942332,4768.8580,3
435661833,Pedro Rodríguez Martin,108.48,6.52,pass435661833,4794.9241,10
941768463,Pedro Álvarez López,101.73,7.46,pass941768463,4827.5263,2
500058083,Patricia López Sánchez,94.57,8.70,pass500058083,4860.4857,2
991499310,Ana Gómez Fernández,96.08,8.51,pass991499310,4907.2275,8
297136722,Ana Martin Moreno,99.40,7.95,pass297136722,4911.1206,10
223919691,Carmen García Sánchez,113.49,6.14,pass223919691,4940.7096,4
178771517,José Muñoz González,110.47,6.52,pass178771517,4971.7433,10
085475024,Monica López Muñoz,114.01,6.29,pass085475024,5113.0797,4
534720738,Sofia Martínez Jiménez,98.45,8.45,pass534720738,5118.7677,6
871169663,Luis López Hernández,106.07,7.29,pass871169663,5124.5673,5
682266246,Carlos Sánchez Díaz,92.72,9.54,pass682266246,5125.1119,5
776308417,Miguel Muñoz Muñoz,115.17,6.18,pass776308417,5126.3779,5
663177838,Elena Martin Álvarez,97.59,8.63,pass663177838,5135.2048,4
600234717,Elena Rodríguez Moreno,103.66,7.66,pass600234717,5145.1487,6
840264060,Antonio López Hernández,92.94,9.58,pass840264060,5173.6532,7
051135249,Sofia Moreno López,94.73,9.27,pass051135249,5199.8043,3
966244660,Pedro Martínez Martin,114.80,6.33,pass966244660,5215.9754,6
401622580,Carlos Ruiz Rodríguez,95.17,9.30,pass401622580,5263.8060,1
941748361,Daniel Moreno Hernández,105.14,7.65,pass941748361,5282.0297,7
491610843,Patricia Gómez Álvarez,110.51,7.01,pass491610843,5350.1511,7
678811299,Elena Moreno Gómez,103.69,7.99,pass678811299,5372.3999,7
817382979,Monica Martin Moreno,99.94,8.63,pass817382979,5389.2605,9
474771958,Daniel Jiménez Muñoz,99.40,8.80,pass474771958,5433.0577,7
711781775,Elena Martínez González,94.67,9.78,pass711781775,5480.8366,6
968493235,Laura Hernández Martin,112.70,6.98,pass968493235,5537.8522,3
835418748,Francisco Gómez Martin,106.62,7.81,pass835418748,5546.9033,8
838586745,Luis Martínez Díaz,104.59,8.15,pass838586745,5574.6113,6
968120428,Ana Hernández Jiménez,116.26,6.60,pass968120428,5579.7820,7
165239635,Antonio Pérez Pérez,120.46,6.20,pass165239635,5627.0689,4
571041035,Carmen Gómez Hernández,116.46,6.65,pass571041035,5640.8114,6
541304319,Laura Hernández Ruiz,111.15,7.33,pass541304319,5659.6067,5
753450868,Patricia Fernández Hernández,95.93,9.90,pass753450868,5694.3655,1
061490641,Ana Álvarez García,100.37,9.08,pass061490641,5714.7706,1
704448182,José Martínez Jiménez,108.94,7.71,pass704448182,5717.3588,1
451866546,Laura Díaz Ruiz,100.57,9.05,pass451866546,5721.1161,7
887274210,Monica Fernández Pérez,109.34,7.70,pass887274210,5749.7396,8
633253046,Antonio Jiménez Ruiz,109.40,7.89,pass633253046,5905.0778,4
249887887,Carlos Gómez Moreno,120.73,6.61,pass249887887,6021.5006,5
530185898,Pedro Álvarez Rodríguez,101.56,9.42,pass530185898,6072.6273,1
798994116,Elena Moreno González,118.50,6.99,pass798994116,6135.7300,5
071148957,Laura Muñoz Moreno,116.55,7.23,pass071148957,6136.0600,9
181115182,Laura Álvarez González,128.05,6.04,pass181115182,6192.0962,10
517909075,Luis Martin Rodríguez,100.26,9.94,pass517909075,6244.1173,1
184963004,Lucia Álvarez Sánchez,114.17,7.71,pass184963004,6281.3534,6
910901921,José Martin Fernández,118.92,7.14,pass910901921,6307.7395,2
173972946,María Martin Rodríguez,127.20,6.26,pass173972946,6333.4715,3
928267866,Lucia Muñoz Díaz,106.86,8.90,pass928267866,6349.6590,6
410276091,Lucia Sánchez Sánchez,128.97,6.11,pass410276091,6356.8717,3
227970064,Elena Pérez Jiménez,110.81,8.28,pass227970064,6356.9578,2
580610076,Juan Hernández López,119.06,7.18,pass580610076,6362.5560,1
026475065,Monica Moreno Ruiz,118.61,7.25,pass026475065,6374.0887,10
794627149,Monica Martínez Sánchez,119.18,7.26,pass794627149,6443.0578,8
946886852,Lucia Jiménez González,114.74,7.88,pass946886852,6482.2287,8
559355234,Juan Gómez López,104.40,9.56,pass559355234,6512.3298,9
599261023,Patricia Martínez Rodríguez,126.42,6.57,pass599261023,6567.1696,9
463964341,Luis Ruiz Jiménez,108.13,9.06,pass463964341,6621.6344,9
023155694,Patricia López Jiménez,123.56,6.97,pass023155694,6651.2673,5
279213770,Antonio Gómez Sánchez,121.15,7.26,pass279213770,6659.7709,6
792139995,Isabel Martin Martínez,132.04,6.17,pass792139995,6719.9813,10
258369426,Carlos Muñoz Hernández,117.45,7.82,pass258369426,6739.7664,1
455179028,María López Martínez,104.57,9.93,pass455179028,6784.4568,2
793028855,Isabel Pérez Muñoz,104.84,9.90,pass793028855,6799.3014,1
215923205,Luis Ruiz Gómez,110.96,8.84,pass215923205,6800.6949,3
254352658,Luis Hernández Muñoz,118.74,7.73,pass254352658,6811.4700,7
076179053,María González García,113.70,8.44,pass076179053,6818.7508,3
314913198,Laura Martin Moreno,132.20,6.26,pass314913198,6835.9732,8
048700057,Patricia Hernández Sánchez,120.24,7.59,pass048700057,6854.8318,2
146265626,Elena Moreno Muñoz,116.31,8.17,pass146265626,6904.3991,10
205905140,Laura Pérez Rodríguez,112.43,8.78,pass205905140,6934.3576,3
784454934,Francisco Martin Ruiz,111.50,9.11,pass784454934,7082.1832,1
900135494,Antonio Álvarez Fernández,111.15,9.20,pass900135494,7102.5447,1
014622081,Luis Martin Gómez,107.24,9.91,pass014622081,7120.4713,2
260285393,Miguel Hernández Muñoz,113.31,8.94,pass260285393,7171.7153,8
367031687,Elena Rodríguez Martínez,122.52,7.69,pass367031687,7214.3386,3
130626573,Daniel Sánchez Sánchez,110.31,9.54,pass130626573,7255.7462,3
835855068,David Rodríguez Sánchez,120.41,8.06,pass835855068,7304.7201,3
743263600,Carmen Sánchez Martin,114.16,8.98,pass743263600,7310.4728,6
231841556,Isabel Gómez González,113.54,9.17,pass231841556,7387.3802,3
794291943,Monica Fernández Pérez,128.09,7.21,pass794291943,7395.8870,5
013830608,Antonio Rodríguez Hernández,121.11,8.07,pass013830608,7398.4827,9
645069770,Antonio Sánchez Jiménez,135.48,6.48,pass645069770,7433.7187,2
345681738,David Martínez Pérez,119.02,8.40,pass345681738,7438.7912,6
720892252,Carlos Martínez González,140.25,6.05,pass720892252,7441.8460,10
527620016,María Pérez López,121.52,8.26,pass527620016,7620.6620,4
521924139,Isabel González Sánchez,119.77,8.51,pass521924139,7626.8764,1
545131808,José Álvarez Álvarez,121.14,8.33,pass545131808,7643.2737,7
985201141,Ana Díaz Sánchez,132.60,6.98,pass985201141,7665.3215,3
438615840,Isabel Rodríguez Álvarez,115.24,9.38,pass438615840,7785.8980,5
977612004,Juan Álvarez García,140.46,6.31,pass977612004,7786.1800,6
988669722,Francisco Jiménez Gómez,117.07,9.23,pass988669722,7904.1666,4
869203649,Isabel Gómez García,132.27,7.23,pass869203649,7911.1282,2
835141372,Elena Jiménez Rodríguez,136.01,6.92,pass835141372,8001.4213,8
590633689,Miguel Martínez Jiménez,142.83,6.29,pass590633689,8020.8708,3
217474538,Laura Pérez Moreno,132.51,7.45,pass217474538,8176.0124,8
420071434,Francisco González Pérez,134.27,7.38,pass420071434,8311.8543,4
521029357,Patricia Fernández López,123.69,8.71,pass521029357,8323.9233,9
360908697,Daniel Jiménez Sánchez,127.08,8.33,pass360908697,8403.0316,6
369566238,Isabel Hernández Pérez,144.15,6.51,pass369566238,8450.9613,9
081999366,Isabel Martínez Pérez,117.31,9.85,pass081999366,8475.1618,9
444824950,Sofia Rodríguez Moreno,133.83,7.60,pass444824950,8501.9498,8
392962088,Sofia Sánchez Díaz,135.28,7.46,pass392962088,8528.6456,8
047945671,Pedro Rodríguez Jiménez,125.16,8.86,pass047945671,8677.6861,9
220710147,Miguel Álvarez Pérez,127.65,8.57,pass220710147,8723.4516,3
163686369,Monica García Gómez,143.81,6.76,pass163686369,8736.9767,1
407416354,José Pérez Moreno,122.35,9.41,pass407416354,8806.8391,8
894415729,David García Moreno,147.90,6.46,pass894415729,8837.9295,6
390594329,María Pérez González,145.27,6.71,pass390594329,8850.3692,5
081011603,Carmen Sánchez Martínez,139.22,7.33,pass081011603,8882.5876,9
736519504,Pedro Díaz Hernández,140.80,7.20,pass736519504,8923.0967,6
335672486,Elena García Gómez,126.49,9.03,pass335672486,9026.9652,2
651574170,Monica Hernández Rodríguez,128.86,8.71,pass651574170,9037.6224,4
218190911,Patricia Ruiz López,145.07,6.94,pass218190911,9129.3126,7
166760278,Sofia Martin Martínez,129.34,8.81,pass166760278,9211.5923,7
263324448,Isabel Díaz Rodríguez,140.65,7.52,pass263324448,9301.8437,9
005573250,Pedro López Pérez,144.70,7.12,pass005573250,9314.6367,9
507021590,Juan García Álvarez,152.88,6.47,pass507021590,9447.8132,3
923878409,Pedro Gómez Martin,156.81,6.15,pass923878409,9453.9147,10
507280253,Daniel Martínez Álvarez,151.73,6.69,pass507280253,9619.7681,3
651268662,Elena Álvarez Muñoz,133.88,8.60,pass651268662,9632.2762,1
471819109,Francisco Rodríguez Martin,160.42,6.11,pass471819109,9826.2515,9
636692991,Carmen Fernández González,141.50,7.87,pass636692991,9846.7248,8
705387286,José López Álvarez,133.86,8.80,pass705387286,9855.8023,5
280392388,Luis García González,127.60,9.69,pass280392388,9865.2503,4
618824116,Daniel González Martin,161.23,6.08,pass618824116,9877.2415,8
406144768,María Rodríguez Moreno,145.55,7.50,pass406144768,9923.7678,1
825664711,Luis Gómez Fernández,128.32,9.68,pass825664711,9962.7002,3
820572144,Ana Fernández Moreno,128.56,9.71,pass820572144,10032.7325,6
456620476,Isabel Hernández Fernández,144.15,7.74,pass456620476,10049.3716,8
700623665,Lucia López González,140.03,8.25,pass700623665,10108.8112,2
502663788,Miguel Martínez Moreno,153.05,6.93,pass502663788,10150.6695,5
932729951,Ana Hernández Moreno,130.23,9.58,pass932729951,10153.2151,5
010317369,Lucia Muñoz Muñoz,156.16,6.66,pass010317369,10156.4447,4
867953644,Sofia Muñoz Moreno,133.90,9.07,pass867953644,10164.3489,6
079677030,José García Sánchez,131.20,9.47,pass079677030,10185.7289,7
839227007,David Álvarez Gómez,128.34,9.90,pass839227007,10188.7372,6
205090546,Pedro Martin López,133.69,9.16,pass205090546,10235.5849,3
006401287,Daniel Ruiz López,146.59,7.79,pass006401287,10460.9691,6
325851188,Miguel Ruiz López,153.46,7.12,pass325851188,10473.1532,9
556712248,David Pérez Gómez,158.83,6.74,pass556712248,10618.9103,1
341975338,Sofia Moreno Jiménez,147.54,7.82,pass341975338,10643.1267,5
555185085,Carmen Fernández Pérez,158.53,6.81,pass555185085,10697.0475,4
455039144,Laura Ruiz Martínez,154.55,7.17,pass455039144,10703.1953,4
259621736,Francisco López García,156.96,6.96,pass259621736,10711.2655,2
728840448,Lucia Ruiz Sánchez,163.91,6.40,pass728840448,10752.0477,8
222798187,Patricia Moreno Gómez,165.09,6.32,pass222798187,10757.9731,4
559346295,Elena Martin Gómez,137.41,9.26,pass559346295,10929.1310,3
135394971,Juan Gómez Moreno,147.75,8.03,pass135394971,10953.1101,4
974779998,Sofia Muñoz Jiménez,138.92,9.09,pass974779998,10969.8611,4
826576245,Miguel Moreno Álvarez,149.94,7.83,pass826576245,11003.8240,1
572858081,Ana Hernández Gómez,137.25,9.55,pass572858081,11242.2666,7
126110024,Monica Hernández Moreno,161.39,6.93,pass126110024,11286.5624,10
284027821,Patricia Álvarez García,139.42,9.32,pass284027821,11318.7420,1
762432350,José Pérez Moreno,148.65,8.21,pass762432350,11337.8463,1
034320134,Isabel Sánchez Álvarez,140.43,9.25,pass034320134,11402.6954,9
511221900,Pedro Ruiz Fernández,169.64,6.36,pass511221900,11447.1297,7
960847956,Laura Moreno Sánchez,143.25,8.94,pass960847956,11468.2394,9
060985863,Carmen Gómez Fernández,156.76,7.51,pass060985863,11536.0376,2
328899131,Carlos Álvarez Álvarez,153.78,7.84,pass328899131,11583.0876,2
532643607,Juan Jiménez Sánchez,172.50,6.33,pass532643607,11772.1683,7
749787867,María Sánchez Muñoz,163.73,7.03,pass749787867,11780.5815,5
506953900,Antonio González Álvarez,151.92,8.21,pass506953900,11838.3793,2
281616203,Miguel Díaz Ruiz,148.72,8.59,pass281616203,11873.6430,1
196370921,Pedro Moreno Álvarez,138.23,9.99,pass196370921,11928.5781,5
546524450,Sofia Sánchez Jiménez,168.93,6.70,pass546524450,11941.3299,5
830337562,Isabel García González,159.07,7.59,pass830337562,12004.4948,6
008307266,José Jiménez González,162.25,7.34,pass008307266,12072.4502,3
526179251,Ana Pérez Martínez,166.04,7.01,pass526179251,12077.2820,8
366062950,Laura Martin Díaz,164.35,7.32,pass366062950,12349.6111,6
895213822,Pedro Moreno Martin,148.16,9.08,pass895213822,12452.2453,6
